SourceFile,FileName,Make,Model,Orientation,FNumber,ExposureProgram,ExposureTime,ISO,ApertureValue,Flash,FocalLength,DigitalZoomRatio,SceneCaptureType,ImageWidth,ImageHeight
./S20 2 Wide/20221024_142630(0).jpg,20221024_142630(0).jpg,samsung,SM-G781U1,Rotate 90 CW,1.8,Program AE,1/40,500,1.8,No Flash,5.4 mm,,Standard,4032,3024
./S20 2 Wide/20221024_142606(0).jpg,20221024_142606(0).jpg,samsung,SM-G781U1,Rotate 90 CW,1.8,Program AE,1/40,500,1.8,No Flash,5.4 mm,,Standard,4032,3024
./S20 2 Wide/20221024_142541.jpg,20221024_142541.jpg,samsung,SM-G781U1,Rotate 90 CW,1.8,Program AE,1/40,500,1.8,No Flash,5.4 mm,,Standard,4032,3024
./S20 2 Wide/20221024_142555.jpg,20221024_142555.jpg,samsung,SM-G781U1,Rotate 90 CW,1.8,Program AE,1/40,500,1.8,No Flash,5.4 mm,,Standard,4032,3024
./S20 2 Wide/20221024_142618(0).jpg,20221024_142618(0).jpg,samsung,SM-G781U1,Rotate 90 CW,1.8,Program AE,1/40,500,1.8,No Flash,5.4 mm,,Standard,4032,3024
./S20 2 Wide/20221024_142614(0).jpg,20221024_142614(0).jpg,samsung,SM-G781U1,Rotate 90 CW,1.8,Program AE,1/40,500,1.8,No Flash,5.4 mm,,Standard,4032,3024
./S20 2 Wide/20221024_142637.jpg,20221024_142637.jpg,samsung,SM-G781U1,Rotate 90 CW,1.8,Program AE,1/40,500,1.8,No Flash,5.4 mm,,Standard,4032,3024
./S20 2 Wide/20221024_142623.jpg,20221024_142623.jpg,samsung,SM-G781U1,Rotate 90 CW,1.8,Program AE,1/40,500,1.8,No Flash,5.4 mm,,Standard,4032,3024
./S20 2 Wide/20221024_142609.jpg,20221024_142609.jpg,samsung,SM-G781U1,Rotate 90 CW,1.8,Program AE,1/40,500,1.8,No Flash,5.4 mm,,Standard,4032,3024
./S20 2 Wide/20221024_142635.jpg,20221024_142635.jpg,samsung,SM-G781U1,Rotate 90 CW,1.8,Program AE,1/40,500,1.8,No Flash,5.4 mm,,Standard,4032,3024
./S20 2 Wide/20221024_142621.jpg,20221024_142621.jpg,samsung,SM-G781U1,Rotate 90 CW,1.8,Program AE,1/40,500,1.8,No Flash,5.4 mm,,Standard,4032,3024
./S20 2 Wide/20221024_142543.jpg,20221024_142543.jpg,samsung,SM-G781U1,Rotate 90 CW,1.8,Program AE,1/40,500,1.8,No Flash,5.4 mm,,Standard,4032,3024
./S20 2 Wide/20221024_142557.jpg,20221024_142557.jpg,samsung,SM-G781U1,Rotate 90 CW,1.8,Program AE,1/40,500,1.8,No Flash,5.4 mm,,Standard,4032,3024
